,Faraday depth,Real FDF,Imag FDF,Abs FDF,chi FDF
91,-990.8995449772489,0.0,0.0,0.0,0.0
92,-990.7995399769989,0.0,0.0,0.0,0.0
93,-990.6995349767489,0.0,0.0,0.0,0.0
94,-990.5995299764988,0.0,0.0,0.0,0.0
95,-990.4995249762488,0.0,0.0,0.0,0.0
96,-990.3995199759988,0.0,0.0,0.0,0.0
97,-990.2995149757488,0.0,0.0,0.0,0.0
98,-990.1995099754988,0.0,0.0,0.0,0.0
99,-990.0995049752488,0.0,0.0,0.0,0.0
100,-989.9994999749988,0.0,0.0,0.0,0.0
101,-989.8994949747488,0.0,0.0,0.0,0.0
102,-989.7994899744987,0.0,0.0,0.0,0.0
103,-989.6994849742487,0.0,0.0,0.0,0.0
104,-989.5994799739987,0.0,0.0,0.0,0.0
105,-989.4994749737486,0.0,0.0,0.0,0.0
106,-989.3994699734986,0.0,0.0,0.0,0.0
107,-989.2994649732486,0.0,0.0,0.0,0.0
108,-989.1994599729986,0.0,0.0,0.0,0.0
109,-989.0994549727486,0.0,0.0,0.0,0.0
110,-988.9994499724986,0.0,0.0,0.0,0.0
111,-988.8994449722486,0.0,0.0,0.0,0.0
112,-988.7994399719986,0.0,0.0,0.0,0.0
113,-988.6994349717486,0.0,0.0,0.0,0.0
114,-988.5994299714986,0.0,0.0,0.0,0.0
115,-988.4994249712486,0.0,0.0,0.0,0.0
116,-988.3994199709986,0.0,0.0,0.0,0.0
117,-988.2994149707486,0.0,0.0,0.0,0.0
118,-988.1994099704986,0.0,0.0,0.0,0.0
119,-988.0994049702485,0.0,0.0,0.0,0.0
120,-987.9993999699985,0.0,0.0,0.0,0.0
121,-987.8993949697485,0.0,0.0,0.0,0.0
122,-987.7993899694985,0.0,0.0,0.0,0.0
123,-987.6993849692485,0.0,0.0,0.0,0.0
124,-987.5993799689984,0.0,0.0,0.0,0.0
125,-987.4993749687484,0.0,0.0,0.0,0.0
126,-987.3993699684984,0.0,0.0,0.0,0.0
127,-987.2993649682484,0.0,0.0,0.0,0.0
128,-987.1993599679984,0.0,0.0,0.0,0.0
129,-987.0993549677484,0.0,0.0,0.0,0.0
130,-986.9993499674983,0.0,0.0,0.0,0.0
131,-986.8993449672483,0.0,0.0,0.0,0.0
132,-986.7993399669983,0.0,0.0,0.0,0.0
133,-986.6993349667483,0.0,0.0,0.0,0.0
134,-986.5993299664983,0.0,0.0,0.0,0.0
135,-986.4993249662483,0.0,0.0,0.0,0.0
136,-986.3993199659983,0.0,0.0,0.0,0.0
137,-986.2993149657483,0.0,0.0,0.0,0.0
138,-986.1993099654983,0.0,0.0,0.0,0.0
139,-986.0993049652483,0.0,0.0,0.0,0.0
140,-985.9992999649983,0.0,0.0,0.0,0.0
141,-985.8992949647483,0.0,0.0,0.0,0.0
142,-985.7992899644983,0.0,0.0,0.0,0.0
143,-985.6992849642482,0.0,0.0,0.0,0.0
144,-985.5992799639982,0.0,0.0,0.0,0.0
145,-985.4992749637482,0.0,0.0,0.0,0.0
146,-985.3992699634982,0.0,0.0,0.0,0.0
147,-985.2992649632481,0.0,0.0,0.0,0.0
148,-985.1992599629981,0.0,0.0,0.0,0.0
149,-985.0992549627481,0.0,0.0,0.0,0.0
150,-984.9992499624981,0.0,0.0,0.0,0.0
151,-984.8992449622481,0.0,0.0,0.0,0.0
152,-984.7992399619981,0.0,0.0,0.0,0.0
153,-984.6992349617481,0.0,0.0,0.0,0.0
154,-984.599229961498,0.0,0.0,0.0,0.0
155,-984.499224961248,0.0,0.0,0.0,0.0
156,-984.399219960998,0.0,0.0,0.0,0.0
157,-984.299214960748,0.0,0.0,0.0,0.0
158,-984.199209960498,0.0,0.0,0.0,0.0
159,-984.099204960248,0.0,0.0,0.0,0.0
160,-983.999199959998,0.0,0.0,0.0,0.0
161,-983.899194959748,0.0,0.0,0.0,0.0
162,-983.799189959498,0.0,0.0,0.0,0.0
163,-983.699184959248,0.0,0.0,0.0,0.0
164,-983.599179958998,0.0,0.0,0.0,0.0
165,-983.499174958748,0.0,0.0,0.0,0.0
166,-983.399169958498,0.0,0.0,0.0,0.0
167,-983.299164958248,0.0,0.0,0.0,0.0
168,-983.199159957998,0.0,0.0,0.0,0.0
169,-983.0991549577479,0.0,0.0,0.0,0.0
170,-982.9991499574978,0.0,0.0,0.0,0.0
171,-982.8991449572478,0.0,0.0,0.0,0.0
172,-982.7991399569978,0.0,0.0,0.0,0.0
173,-982.6991349567478,0.0,0.0,0.0,0.0
174,-982.5991299564978,0.0,0.0,0.0,0.0
175,-982.4991249562478,0.0,0.0,0.0,0.0
176,-982.3991199559978,0.0,0.0,0.0,0.0
177,-982.2991149557478,0.0,0.0,0.0,0.0
178,-982.1991099554978,0.0,0.0,0.0,0.0
179,-982.0991049552478,0.0,0.0,0.0,0.0
180,-981.9990999549977,0.0,0.0,0.0,0.0
181,-981.8990949547477,0.0,0.0,0.0,0.0
182,-981.7990899544977,0.0,0.0,0.0,0.0
183,-981.6990849542477,0.0,0.0,0.0,0.0
184,-981.5990799539977,0.0,0.0,0.0,0.0
185,-981.4990749537477,0.0,0.0,0.0,0.0
186,-981.3990699534977,0.0,0.0,0.0,0.0
187,-981.2990649532477,0.0,0.0,0.0,0.0
188,-981.1990599529977,0.0,0.0,0.0,0.0
189,-981.0990549527477,0.0,0.0,0.0,0.0
190,-980.9990499524977,0.0,0.0,0.0,0.0
191,-980.8990449522477,0.0,0.0,0.0,0.0
192,-980.7990399519977,0.0,0.0,0.0,0.0
193,-980.6990349517475,0.0,0.0,0.0,0.0
194,-980.5990299514975,0.0,0.0,0.0,0.0
195,-980.4990249512475,0.0,0.0,0.0,0.0
196,-980.3990199509975,0.0,0.0,0.0,0.0
197,-980.2990149507475,0.0,0.0,0.0,0.0
198,-980.1990099504975,0.0,0.0,0.0,0.0
199,-980.0990049502475,0.0,0.0,0.0,0.0
200,-979.9989999499975,0.0,0.0,0.0,0.0
201,-979.8989949497475,0.0,0.0,0.0,0.0
202,-979.7989899494975,0.0,0.0,0.0,0.0
203,-979.6989849492475,0.0,0.0,0.0,0.0
204,-979.5989799489975,0.0,0.0,0.0,0.0
205,-979.4989749487474,0.0,0.0,0.0,0.0
206,-979.3989699484974,0.0,0.0,0.0,0.0
